Group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
P_Dav	-0.247539	-0.152597	0.00769463	-0.327984	0.0169367	0.347964	-0.232049	-0.167872	-0.12174	-0.0462028	-0.0126001	0.178203	0.150413	0.0311706	0.712777	-0.0116801	0.0149056	0.05131	-0.0544038	-0.00263848
P_Dav	-0.245832	-0.151534	-0.0029153	-0.289516	-0.0225252	0.274503	-0.293706	-0.10159	-0.202913	-0.0877267	-0.0467336	0.36915	0.0543088	0.0418683	-0.6657	-0.0183955	-0.0154026	-0.0847004	0.0235396	-0.00529007
P_Dav	-0.24522	-0.145376	-0.00328546	-0.106198	-0.121661	-0.447722	0.305665	-0.0454645	-0.739466	-0.0849217	-0.0154404	-0.151844	-0.0374582	0.00177522	0.03655	0.0100438	-0.0151318	0.00124246	0.00829209	-0.00296182
P_Kara	0.077651	-0.0107146	-0.240192	0.00278819	6.78778e-05	-0.00174602	-0.00398054	0.00409492	-0.00327048	0.00218506	0.0377222	0.00273688	-0.0182668	0.0368724	0.00158417	-0.158176	-0.186141	0.0124564	0.0383188	-0.0951623
P_Kara	0.0773836	-0.00905412	-0.227744	0.0073522	-0.000806056	-0.00160301	-0.00100905	-0.0107213	-0.00159331	-0.00656443	0.0114591	0.00171325	-0.00787708	-0.00388443	0.00704844	-0.0878702	-0.0324876	-0.00613447	0.00507518	-0.0185701
P_Kara	0.0764543	-0.00826619	-0.227777	0.00563476	-0.00298864	-0.00281773	-0.00213686	-0.00345565	0.00837645	-0.00846212	0.0472458	0.000303662	-0.00992904	-0.0165982	0.000537223	-0.170947	-0.0793497	-0.0161141	-0.0236077	-0.0866511
P_Kara	0.0773995	-0.0101152	-0.223992	6.64086e-07	-0.000339079	-0.00610951	-0.00114245	0.00177322	0.00406674	-0.00615442	0.0511958	0.0020517	-0.0151566	-0.00710566	-0.00946074	-0.14239	-0.0675896	-0.0140034	-0.0314399	-0.0387232
P_Kara	0.0764275	-0.00996773	-0.19342	-0.000314099	-0.00675687	-0.00112041	0.000313193	-0.00393752	0.00355418	0.000282999	0.0380466	0.000455536	-0.00736998	-0.00406078	0.00217863	-0.143054	-0.106359	-0.00537625	-0.00157848	-0.0756925
P_Kara	0.0750786	-0.00845893	-0.255966	0.00335346	-0.00653437	0.00584466	0.0044057	0.00160722	-0.00300706	-0.00235523	0.026963	0.00205836	-0.0103352	-0.00305131	0.0173061	-0.213776	-0.19221	0.0217001	-0.0108362	-0.228374
P_Dav	-0.246463	-0.147234	0.000253218	-0.246378	-0.0805978	0.0351474	-0.187436	0.0342921	0.272806	-0.362816	0.0316759	-0.757708	-0.000929167	0.00308452	-0.107089	0.00315372	-0.00509937	0.0219919	0.0455815	0.00121847
P_Dav	-0.247119	-0.148667	0.00845954	0.543736	0.0452086	0.0373132	-0.162125	0.0338715	-0.0566436	0.00596586	0.00569059	1.94605e-05	0.196141	0.0515469	-0.0629502	-0.00763288	0.0344487	0.721332	-0.00419592	-0.014608
P_Dav	-0.246711	-0.152083	0.00402553	0.542892	0.0442087	-0.0197136	-0.185976	0.0477572	-0.0244743	0.0437652	0.00658124	-0.0571372	0.307438	0.0359177	0.0655594	-0.0142537	-0.0392276	-0.673523	0.0333726	0.0206534
P_Dav	-0.24761	-0.148856	0.00405315	0.23969	0.0442123	0.085776	-0.0170113	0.0209492	0.0676836	-0.142164	0.00475134	0.133257	-0.872656	-0.09596	0.0839648	0.0398808	0.00715306	-0.0730239	-0.0692465	-0.00497922
P_Kans	-0.172517	0.336486	0.000427565	0.0127532	-0.297075	0.265778	0.19814	0.381792	-0.0393994	0.0161929	-0.017281	0.0250896	-0.0594615	0.426679	0.047072	-0.0463453	0.0607893	-0.0100114	0.530112	0.0757977
P_Kans	-0.16658	0.407885	0.0105381	-0.0574099	0.355487	-0.171713	-0.0645905	0.00218933	0.0267292	-0.0439811	-0.0217974	-0.00979968	-0.0331167	0.584316	-0.0226654	-0.0575966	0.0773851	-0.0219123	-0.515479	-0.00500061
P_Kans	-0.145551	0.423167	0.00941914	0.0860211	-0.565809	0.204795	0.0742522	0.0511125	-0.0322979	0.00629295	0.00570269	-0.0270301	0.0775099	-0.371091	-0.030272	0.0380026	-0.0308233	-0.0104615	-0.488376	-0.0624017
P_Kans	-0.171279	0.347892	-0.00876006	-0.0722328	0.63156	0.134597	0.073103	0.302072	-0.140409	-0.0242029	0.0378438	-0.0584283	0.0648838	-0.500415	-0.015245	0.0513279	-0.0712143	0.0116068	0.160437	-0.0113552
P_Kans	-0.167803	0.444619	0.0184483	0.0279683	-0.0740964	-0.338751	-0.23949	-0.618886	0.136377	0.0349092	-0.00536494	0.0588551	-0.0511544	-0.121689	0.0241001	0.0128388	-0.0353231	0.0231318	0.385367	0.0116662
Cultivar2	0.0827753	-0.0135113	0.0981507	4.44772e-05	0.00248527	0.00128159	-0.000579087	0.00612022	0.00113383	0.00124006	-0.0776995	-0.00363816	-0.00259385	0.0051999	0.00159297	0.0627794	-0.0326638	0.00250383	0.00563748	0.0111402
Cultivar3	0.0762674	-0.00945702	-0.195951	0.0011957	-0.000186257	0.000694572	-0.00161435	-0.000585564	-0.000728782	-0.000689117	0.0466265	-0.00128006	-0.005491	-0.0106406	0.00886997	-0.166139	-0.0299396	0.000191696	-0.0192313	-0.0236116
Cultivar1	0.0834127	-0.0144245	0.15966	-0.002375	-0.00155598	0.0020081	0.00492885	-1.44907e-06	-0.00332518	-0.0119344	0.181029	0.0133807	0.00125754	0.0256657	-0.00129936	0.0306842	-0.119044	0.00265984	0.00280025	0.00434492
Cultivar1	0.082348	-0.0131711	0.158038	-0.00258791	0.00103047	-0.00170531	0.00361161	0.00217583	0.000159784	-0.0137807	0.0984359	0.00581325	0.00582857	0.0108555	0.00626223	0.0505028	-0.104941	-0.00324452	-0.0132376	-0.0270488
Cultivar3	0.0791625	-0.0108081	-0.0503672	0.00507921	0.00178019	0.00130015	-0.00713557	-0.0026135	-0.00397862	0.00217153	-0.104845	-0.00629065	-0.00352564	-0.000965315	-0.00535277	0.0157055	0.110499	0.00374935	-0.00693202	0.0163939
Cultivar2	0.0834538	-0.0145197	0.144603	0.00218645	0.00140174	-0.00252199	-0.00439667	0.00670473	-0.00518031	0.00727282	-0.0816745	-0.0049911	-0.00422642	-0.0261779	2.88537e-05	-0.207597	0.196316	0.000956798	0.0334652	-0.069952
Cultivar3	0.0805904	-0.0103225	-0.0277347	-0.00601568	-0.00432531	-0.00210979	-0.00344994	-0.00815562	-0.00800772	-0.0123494	0.14122	-0.000976142	0.00742086	-0.0673679	-0.0063109	-0.142288	0.226	-0.0070418	-0.031394	0.307342
